web-scraper-order,web-scraper-start-url,pagination,product_url,product_url-href,category,sub-categories,item_reviewed,price,image_url-src
"1646833963-2530","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=3","New
                        

                        
		

                            White Love Trinket Dish","https://www.primark.com/en/all-products/homeware/home-furnishings/home-decor-accessories/white-love-trinket-dish/p/210180339","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""home décor accessories""}]","White Love Trinket Dish","£1.00","https://primedia.primark.com/i/primark/210180339-01?w=1000&h=1000&img404=missing_product&v=1646833960756&locale=en-*,*"
"1646843731-4415","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=42","Charcoal Velvet Cushion Cover","https://www.primark.com/en/all-products/homeware/home-furnishings/cushions-covers/charcoal-velvet-cushion-cover/p/133953008","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""cushions & covers""}]","Charcoal Velvet Cushion Cover","£2.50","https://primedia.primark.com/i/primark/133953008-01?w=1000&h=1000&img404=missing_product&v=1646843727775&locale=en-*,*"
"1646839095-3543","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=24","Silvertone Celestial Huggie Earrings 6 Pack","https://www.primark.com/en/all-products/womenswear/accessories/jewellery/studs-hoops/silvertone-celestial-huggie-earrings-6-pack/p/210182095","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""necklaces, earrings & rings""},{""sub-categories"":""earrings""}]","Silvertone Celestial Huggie Earrings 6 Pack","£2.00","https://primedia.primark.com/i/primark/210182095-01?w=1000&h=1000&img404=missing_product&v=1646839092393&locale=en-*,*"
"1646836216-2986","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=13","New
                        

                        
		

                            Older Girl Blue Denim Shorts","https://www.primark.com/en/all-products/kids/girls-clothes/older/older-girl-blue-denim-shorts/p/210192603","kids clothes","[{""sub-categories"":""girls clothes""},{""sub-categories"":""older girls clothes""}]","Older Girl Blue Denim Shorts","£6.00","https://primedia.primark.com/i/primark/210192603-01?w=1000&h=1000&img404=missing_product&v=1646836214238&locale=en-*,*"
"1646837110-3168","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=17","Black Polyester Zipped Crossbody Bag","https://www.primark.com/en/all-products/womenswear/accessories/handbags/crossbody/black-polyester-zipped-crossbody-bag/p/210220263","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""handbags""},{""sub-categories"":""crossbody bags""}]","Black Polyester Zipped Crossbody Bag","£4.00","https://primedia.primark.com/i/primark/210220263-01?w=1000&h=1000&img404=missing_product&v=1646837108068&locale=en-*,*"
"1646838455-3434","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=22","Mixed Plait Headbands 2 Pack","https://www.primark.com/en/all-products/womenswear/accessories/hair-bows-scrunchies/mixed-plait-headbands-2-pack/p/210180340","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""hair bands, bows & scrunchies""}]","Mixed Plait Headbands 2 Pack","£3.00","https://primedia.primark.com/i/primark/210180340-01?w=1000&h=1000&img404=missing_product&v=1646838452091&locale=en-*,*"
"1646843942-4457","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=43","Cream Cotton Net String Shopping Bag","https://www.primark.com/en/all-products/womenswear/accessories/handbags/cream-cotton-net-string-shopping-bag/p/133935088","all women's","[{""sub-categories"":""accessories""},{""sub-categories"":""handbags""}]","Cream Cotton Net String Shopping Bag","£1.50","https://primedia.primark.com/i/primark/133935088-01?w=1000&h=1000&img404=missing_product&v=1646843939314&locale=en-*,*"
"1646835832-2908","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=11","New
                        

                        
		

                            Dark Green Seamfree Jacquard Longsleeve Cropped T-Shirt","https://www.primark.com/en/all-products/womenswear/clothing/gym-clothes/dark-green-seamfree-jacquard-longsleeve-cropped-t-shirt/p/210188215","all women's","[{""sub-categories"":""clothing""},{""sub-categories"":""gym clothes""}]","Dark Green Seamfree Jacquard Longsleeve Cropped T-Shirt","£8.00","https://primedia.primark.com/i/primark/210188215-01?w=1000&h=1000&img404=missing_product&v=1646835829174&locale=en-*,*"
"1646838634-3463","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","/en/all-products/c/categories/load-more-products?q=%3Anewin-desc&page=23","Baby Girl Mixed Print Longsleeve T-Shirts 3 Pack","https://www.primark.com/en/all-products/kids/baby-newborn-clothes/baby-girl-clothes/baby-girl-mixed-print-longsleeve-t-shirts-3-pack/p/210078470","kids clothes","[{""sub-categories"":""baby & newborn clothes""},{""sub-categories"":""baby girl clothes""}]","Baby Girl Mixed Print Longsleeve T-Shirts 3 Pack","£7.00","https://primedia.primark.com/i/primark/210078470-01?w=1000&h=1000&img404=missing_product&v=1646838631064&locale=en-*,*"
"1646845605-4792","https://www.primark.com/en/all-products/c/categories?productPagePosition=0","","New
                        

                        
		

                            Large Beige Face Embossed Candle Pillar","https://www.primark.com/en/all-products/homeware/home-furnishings/candles-holders/large-beige-face-embossed-candle-pillar/p/210258899","homeware","[{""sub-categories"":""home furnishings""},{""sub-categories"":""candles & scented candles""}]","Large Beige Face Embossed Candle Pillar","£4.00","https://primedia.primark.com/i/primark/210258899-01?w=1000&h=1000&img404=missing_product&v=1646845602398&locale=en-*,*"
